ordem	sigla_tabela	nome_site_daqui_em_diante	nome_site_original	classe_ibge	eixo	status_modelo	descricao_tecnica
103	ibge_mediapopc	Moradores em casas por célula	Moradores em casas por célula	Edificações, arruamento, parametros urbanísticos	Densidade	Sim	Média estimada de moradores em domicílios tipo casa por célula de 50 m. O total do setor censitário é distribuído igualmente entre as células que intersectam o setor.
104	ibge_mediapopdomc	Moradores por domicílio tipo casa	Moradores por domicílio tipo casa	Edificações, arruamento, parametros urbanísticos	Densidade	Sim	Média de moradores por domicílio tipo casa no setor censitário.
105	ibge_mediadoma	Domicílios tipo apartamento por célula	Domicílios tipo apartamento por célula	Edificações, arruamento, parametros urbanísticos	Densidade	Sim	Média estimada de domicílios tipo apartamento por célula de 50 m. O total do setor censitário é distribuído igualmente entre as células que intersectam o setor.
106	ibge_mediapopa	Moradores em apartamentos por célula	Moradores em apartamentos por célula	Edificações, arruamento, parametros urbanísticos	Densidade	Sim	Média estimada de moradores em domicílios tipo apartamento por célula de 50 m. O total do setor censitário é distribuído igualmente entre as células que intersectam o setor.
107	ibge_mediapopdoma	Moradores por domicílio tipo apartamento	Moradores por domicílio tipo apartamento	Edificações, arruamento, parametros urbanísticos	Densidade	Sim	Média de moradores por domicílio tipo apartamento no setor censitário.
108	decli_media	Declividade média	decli media	Áreas com restrição a ocupação	Morfológico	Sim	Declividade media da celula derivada da fonte de declividade 50m e agregada por resolucao quando necessario.
109	ndvi	Vegetação média (NDVI)	ndvi	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media do indice NDVI Sentinel na celula.
110	vari	Vegetação visível (VARI)	vari	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media do indice VARI Sentinel na celula.
111	rgri	Razão vermelho-verde (RGRI)	rgri	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media do indice RGRI Sentinel na celula.
112	vgnirbi	Índice verde-NIR (VgNIRBI)	vgnirbi	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media do indice VG-NIR-BI Sentinel na celula.
113	pisi	Índice espectral PISI	pisi	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media do indice PISI Sentinel na celula.
114	b5	Banda Sentinel-2 B5	b5	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media da banda Sentinel renomeada para b5.
115	b6	Banda Sentinel-2 B6	b6	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media da banda Sentinel renomeada para b6.
116	b7	Banda Sentinel-2 B7	b7	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media da banda Sentinel renomeada para b7.
117	b11	Banda Sentinel-2 B11	b11	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media da banda Sentinel renomeada para b11.
118	b12	Banda Sentinel-2 B12	b12	Edificações, arruamento, parametros urbanísticos	Espectral	Sim	Media da banda Sentinel renomeada para b12.
119	p_ibge_brancos	Brancos	Brancos	x	Social	Não	% Pessoas brancas
120	p_ibge_pretos	Pretos	Pretos	x	Social	Não	% Pessoas pretas
121	p_ibge_amarelos	Amarelos	Amarelos	x	Social	Não	% Pessoas amarelas
122	p_ibge_pardos	Pardos	Pardos	x	Social	Não	% Pessoas pardas
123	p_ibge_indigenas	Índigenas	Índigenas	x	Social	Não	% Pessoas indígenas
124	p_ibge_homalfab	Homens alfabetizados	Homens alfabetizados	x	Social	Não	% Homens, 15+ alfabetizados
125	p_ibge_homnalfab	Homens não alfabetizados	Homens não alfabetizados	x	Social	Não	% Homens, 15+, não alfabetizados
126	p_ibge_mulalfab	Mulheres alfabetizadas	Mulheres alfabetizadas	x	Social	Não	% Mulheres, 15+, alfabetizados
127	p_ibge_mulnalfab	Mulheres não alfabetizadas	Mulheres não alfabetizadas	x	Social	Não	% Mulheres, 15+, não alfabetizados
128	p_ibge_resp_60mais	Responsável 60 anos ou mais	Responsável 60 anos ou mais	x	Social	Não	% Responsável 60 anos ou mais
129	p_ibge_resp_40a59	Responsável 40 a 59 anos	Responsável 40 a 59 anos	x	Social	Não	% Responsável 40 a 59 anos
130	p_ibge_resp_25a39	Responsável 25 a 39 anos	Responsável 25 a 39 anos	x	Social	Não	% Responsável 25 a 39 anos
