ordem	sigla_tabela	nome_site_daqui_em_diante	nome_site_original	classe_ibge	eixo	status_modelo	descricao_tecnica
170	p10_gba_altura	Altura baixa - percentil 10 (GBA)	P10 altura GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Percentil 10 da altura dos edifícios GBA.
171	p90_gba_altura	P90 altura GBA	P90 altura GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Percentil 90 da altura dos edifícios GBA.
172	max_gba_altura	Altura máxima dos edifícios (GBA)	Altura máxima GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Altura máxima dos edifícios GBA na célula.
173	std_gba_altura	Desvio altura GBA	Desvio altura GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Desvio padrão da altura dos edifícios GBA.
174	cv_gba_altura	Variação da altura dos edifícios (GBA)	CV altura GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Coeficiente de variação da altura dos edifícios GBA.
175	iqr_gba_altura	IQR altura GBA	IQR altura GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Amplitude interquartil da altura dos edifícios GBA.
176	p_gba_altura_baixa_6m	Edifícios baixos até 6 m (GBA)	% altura baixa GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Proporção de edifícios GBA com altura baixa (até 6m).
177	p_gba_altura_alta_12m	% altura alta GBA	% altura alta GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Proporção de edifícios GBA com altura alta (12m ou mais).
178	gba_volume_m3	Volume construído GBA	Volume construído GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Volume total construído estimado dos edifícios GBA (m³).
179	gba_volume_por_ha	Volume por hectare GBA	Volume por hectare GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Volume construído GBA por hectare.
180	m_gba_volume_edif	Volume médio dos edifícios (GBA)	Volume médio edifício GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Volume médio estimado por edifício GBA.
181	gba_area_piso_proxy_m2	Área de piso proxy GBA	Área de piso proxy GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Área de piso proxy estimada (m²), usando pavimentos aproximados pela altura.
182	gba_floors_proxy_media	Pavimentos estimados (GBA)	Pavimentos proxy GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Média de pavimentos proxy dos edifícios GBA.
183	m_gba_height_var	Variância média altura GBA	Variância média altura GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Média da variância/incerteza de altura dos edifícios GBA.
184	p90_gba_height_var	P90 variância altura GBA	P90 variância altura GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Percentil 90 da variância/incerteza de altura.
185	p_gba_altura_incert_alta	% incerteza alta GBA	% incerteza alta GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Proporção de edifícios GBA com alta incerteza de altura.
186	p_gba_height_valid	% altura válida GBA	% altura válida GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Proporção de edifícios GBA com altura válida.
187	m_gba_dist_nn	Distância ao vizinho mais próximo (GBA)	Distância média vizinho GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Distância média ao edifício GBA vizinho mais próximo.
188	p10_gba_dist_nn	P10 distância vizinho GBA	P10 distância vizinho GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Percentil 10 da distância ao vizinho mais próximo.
189	med_gba_dist_nn	Mediana da distância ao vizinho (GBA)	Mediana distância vizinho GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Mediana da distância ao vizinho mais próximo.
190	m_gba_compacidade	Compacidade dos edifícios (GBA)	Compacidade GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Compacidade média dos edifícios GBA.
191	m_gba_elongacao	Alongamento GBA	Alongamento GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Alongamento médio dos edifícios GBA.
192	m_gba_retangularidade	Retangularidade dos edifícios (GBA)	Retangularidade GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Retangularidade média dos edifícios GBA.
193	std_gba_orientacao	Desvio orientação GBA	Desvio orientação GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Dispersão circular da orientação dos edifícios GBA.
194	ent_gba_orientacao	Diversidade de orientação dos edifícios (GBA)	Entropia orientação GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Grau de diversidade das orientações dos edifícios GBA.
195	p_gba_source_google	% fonte Google GBA	% fonte Google GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Proporção de edifícios GBA oriundos da fonte Google.
196	p_gba_source_osm	% fonte OSM GBA	% fonte OSM GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Proporção de edifícios GBA oriundos da fonte OSM.
197	p_gba_source_microsoft	% fonte Microsoft GBA	% fonte Microsoft GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Proporção de edifícios GBA oriundos da fonte Microsoft.
198	p_gba_source_tum	% fonte TUM GBA	% fonte TUM GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Proporção de edifícios GBA oriundos da fonte TUM.
199	ent_gba_source	Entropia fonte GBA	Entropia fonte GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Não	Diversidade das fontes dos edifícios GBA dentro da célula.
200	m_gba_dist10viz	Distância 10 vizinhos GBA	Distância 10 vizinhos GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Distância média aos 10 edifícios vizinhos mais próximos.
201	m_gba_dist20viz	Distância aos 20 vizinhos (GBA)	Distância 20 vizinhos GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Distância média aos 20 edifícios vizinhos mais próximos.
202	p_ibge_pretpard	Pretos ou pardos	Pretos ou pardos	x	Social	Não	Proporção de pessoas pretas ou pardas.
203	p_ibge_pretpardind	Pretos, pardos ou indígenas	Pretos, pardos ou indígenas	x	Social	Não	Proporção de pessoas pretas, pardas ou indígenas.
204	gba_intensidade_ocup	Intensidade ocupação GBA	Intensidade ocupação GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Interação entre volume construído GBA e proporção de área construída na célula.
205	gba_ocup_shape	Ocupação x forma GBA	Ocupação x forma GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Interação entre proporção de área construída e índice de forma dos edifícios.
206	gba_volume_shape	Volume x forma GBA	Volume x forma GBA	Edificações, arruamento, parâmetros urbanísticos	Morfológico	Sim	Interação entre volume construído GBA e índice de forma dos edifícios.
